tw_topic_1,tw_topic_2,tw_topic_3,tw_topic_4,tw_topic_5,date
0.6212229,0.010089914,0.010060735,0.34857234,0.010054089,2021-01-06
0.73089886,0.060543716,0.008924937,0.1907074,0.008925094,2021-01-07
0.020357661,0.44097716,0.2986535,0.020012697,0.21999894,2021-01-08
0.42341596,0.052006677,0.45813996,0.058017902,0.008419551,2021-01-09
0.9329759,0.016828965,0.016748257,0.016736023,0.016710894,2021-01-10
0.49511996,0.14721069,0.3173955,0.020183707,0.020090148,2021-01-11
0.93302035,0.016911667,0.016683191,0.01669736,0.016687412,2021-01-12
0.6690962,0.10232123,0.21175511,0.008400813,0.008426693,2021-01-13
0.0127713615,0.31211597,0.47069687,0.012676122,0.19173966,2021-01-14
0.83722085,0.040714692,0.04068471,0.04074902,0.040630654,2021-01-15
0.56633633,0.014889557,0.092160955,0.31221098,0.0144022005,2021-01-16
0.79448533,0.023003245,0.022323707,0.13773891,0.022448821,2021-01-17
0.016722623,0.01672263,0.016722687,0.016740412,0.93309164,2021-01-18
0.8006523,0.14429684,0.018343715,0.018359428,0.018347684,2021-01-19
0.9496551,0.012659287,0.012552959,0.012593892,0.01253876,2021-01-20
0.9330406,0.016866732,0.016685998,0.016714955,0.016691713,2021-01-21
0.4752594,0.22446233,0.2840242,0.008183992,0.008070093,2021-01-22
0.57098514,0.27588066,0.018464254,0.11637555,0.01829441,2021-01-23
0.83722144,0.040714663,0.040684685,0.04074859,0.04063063,2021-01-24
0.66732126,0.034099355,0.033619292,0.23131998,0.033640105,2021-01-25
0.6487971,0.31938335,0.010620095,0.010588707,0.010610805,2021-01-26
0.8159064,0.009255447,0.15650287,0.00921538,0.00911984,2021-01-27
0.5767666,0.23193584,0.11414803,0.06658727,0.010562222,2021-01-28
0.092174314,0.014452152,0.0144108385,0.014518176,0.8644445,2021-01-29
0.8221228,0.020435005,0.020171288,0.02009055,0.117180385,2021-01-30
0.9268791,0.018457782,0.018265432,0.018209439,0.018188255,2021-01-31
0.86180496,0.01554287,0.091793746,0.015440522,0.01541793,2021-02-01
0.32222867,0.00884775,0.008708964,0.6515049,0.008709798,2021-02-02
0.60040045,0.012026102,0.36393937,0.011807642,0.011826507,2021-02-03
0.701081,0.03355144,0.19847225,0.033495117,0.03340023,2021-02-04
0.9598526,0.010068164,0.01001963,0.010040023,0.010019644,2021-02-05
0.81154823,0.009463854,0.009555521,0.16033016,0.009102281,2021-02-06
0.7385119,0.013605541,0.013498855,0.220885,0.013498705,2021-02-07
0.59588,0.13630168,0.025429487,0.21700507,0.025383756,2021-02-08
0.36954403,0.013685813,0.58994484,0.013427502,0.013397807,2021-02-09
0.58537114,0.08575125,0.30510998,0.011893523,0.01187416,2021-02-10
0.4377885,0.009838625,0.46550193,0.07728962,0.009581304,2021-02-11
0.69104296,0.013556051,0.013369322,0.26867375,0.013357899,2021-02-12
0.93816334,0.015528605,0.0154180955,0.01546877,0.015421201,2021-02-13
0.6347463,0.012512732,0.32880497,0.0118405605,0.012095448,2021-02-14
0.77531374,0.015102345,0.014415551,0.1807497,0.014418635,2021-02-15
0.7896788,0.022380564,0.022249695,0.14344124,0.022249708,2021-02-16
0.58412325,0.010960674,0.010540384,0.3838342,0.010541471,2021-02-17
0.765627,0.20777507,0.008862984,0.0088646365,0.008870279,2021-02-18
0.6111569,0.33793414,0.016767578,0.017373731,0.016767645,2021-02-19
0.9526505,0.011856002,0.011922897,0.011801094,0.011769531,2021-02-20
0.19153522,0.72264373,0.028601116,0.028583173,0.028636763,2021-02-21
0.9549857,0.011377022,0.011206021,0.011230342,0.011200887,2021-02-22
0.88234395,0.08188594,0.011920506,0.011944278,0.01190536,2021-02-23
0.5562373,0.103205994,0.0106328335,0.31935725,0.010566642,2021-02-24
0.49198195,0.2730682,0.17736903,0.028828293,0.02875251,2021-02-25
0.54112786,0.39841777,0.020109674,0.020156393,0.02018832,2021-02-26
0.95284766,0.011817382,0.011761214,0.011800224,0.011773443,2021-02-27
0.9377733,0.015824297,0.01546478,0.015413044,0.015524601,2021-02-28
0.95736223,0.010942988,0.010554418,0.01055873,0.01058167,2021-03-01
0.837222,0.040714566,0.040684648,0.040748227,0.040630605,2021-03-02
0.95226383,0.012334288,0.011814637,0.011788663,0.011798546,2021-03-03
0.8212945,0.018868832,0.12292118,0.01857324,0.018342258,2021-03-04
0.040067606,0.04164088,0.18768099,0.04027185,0.6903386,2021-03-05
0.22747888,0.029859344,0.029217532,0.6842379,0.02920641,2021-03-06
0.012533452,0.012620287,0.15561524,0.012533499,0.80669755,2021-03-07
0.9597399,0.010169791,0.010013405,0.010025799,0.010051015,2021-03-08
0.8346435,0.04087234,0.040185053,0.044113927,0.040185187,2021-03-09
0.43845096,0.13584556,0.015643347,0.1580876,0.25197256,2021-03-10
0.56249154,0.009571919,0.18768355,0.18178,0.05847298,2021-03-11
0.678687,0.012072841,0.011840537,0.2855644,0.011835321,2021-03-12
0.8151888,0.020405306,0.020099165,0.12420748,0.02009924,2021-03-13
0.3351621,0.6357684,0.009627226,0.009818441,0.009623858,2021-03-14
0.7296367,0.06748309,0.06748405,0.06791146,0.067484714,2021-03-15
0.33493078,0.029676303,0.31448528,0.29222348,0.028684141,2021-03-16
