Date, Open, High, Low, Close
11/27/20, 37793.15, 37841.38, 37710.18, 37799.36
11/25/20, 37663.00, 37713.42, 37491.44, 37664.73
11/24/20, 37402.05, 37747.44, 37293.28, 37689.39
11/23/20, 37048.01, 37213.38, 36856.58, 37108.09
11/20/20, 36975.69, 37016.71, 36815.02, 36819.46
11/19/20, 36738.61, 37042.49, 36612.49, 37018.95
11/18/20, 37242.55, 37333.06, 36814.98, 36817.21
11/17/20, 37115.39, 37328.33, 36915.75, 37196.86
11/16/20, 37099.40, 37298.80, 36999.07, 37288.44
11/13/20, 36580.25, 36909.91, 36506.42, 36830.00
11/12/20, 36578.94, 36669.05, 36139.18, 36334.56
11/11/20, 36663.73, 36766.70, 36530.12, 36699.62
11/10/20, 36375.90, 36523.34, 36009.16, 36414.89
11/09/20, 37029.25, 37426.07, 36417.37, 36439.86
11/06/20, 36076.99, 36167.44, 35824.23, 36050.46
11/05/20, 35857.96, 36215.27, 35857.96, 36071.16
11/04/20, 35054.86, 35759.95, 34946.58, 35339.61
11/03/20, 34295.12, 34792.49, 34265.47, 34612.51
11/02/20, 33898.58, 34159.98, 33629.29, 33962.43
10/30/20, 33801.54, 33942.71, 33204.09, 33541.92
10/29/20, 33692.35, 34294.37, 33505.43, 34001.60
10/28/20, 34214.30, 34241.37, 33599.85, 33618.19
10/27/20, 34958.01, 35001.36, 34779.54, 34799.18
10/26/20, 35241.25, 35309.76, 34539.71, 34918.18
10/23/20, 35584.31, 35589.74, 35312.73, 35587.90
10/22/20, 35289.74, 35521.11, 35036.93, 35450.68
10/21/20, 35351.42, 35562.49, 35221.29, 35227.23
10/20/20, 35375.79, 35688.11, 35283.25, 35343.82
10/19/20, 35900.39, 35964.34, 35146.39, 35212.38
10/16/20, 35917.48, 36078.78, 35746.29, 35759.58
10/15/20, 35325.70, 35836.16, 35294.57, 35778.99
10/14/20, 36077.50, 36209.97, 35723.54, 35799.78
10/13/20, 36198.68, 36200.44, 35926.83, 36031.93
10/12/20, 35977.40, 36364.37, 35908.96, 36224.12
10/09/20, 35573.48, 35754.19, 35519.51, 35696.38
10/08/20, 35324.05, 35395.61, 35205.50, 35391.94
10/07/20, 34799.40, 35174.55, 34799.40, 35104.71
10/06/20, 34966.76, 35224.32, 34431.53, 34492.15
10/05/20, 34533.02, 34934.83, 34533.02, 34928.13
10/02/20, 33973.37, 34484.34, 33959.74, 34283.40
10/01/20, 34578.09, 34672.72, 34355.10, 34567.89
09/30/20, 34097.92, 34615.93, 34077.25, 34305.78
09/29/20, 34187.69, 34266.45, 33967.08, 34044.38
09/28/20, 34097.12, 34289.44, 34010.01, 34202.20
09/25/20, 32995.59, 33715.27, 32944.12, 33631.59
09/24/20, 32838.18, 33424.16, 32668.83, 33074.37
09/23/20, 33869.03, 33913.18, 32971.02, 33005.83
09/22/20, 33655.37, 33882.46, 33376.95, 33834.81
09/21/20, 33399.57, 33509.38, 32953.17, 33503.78
09/18/20, 34316.67, 34339.99, 33620.17, 33916.43
09/17/20, 34025.44, 34425.10, 33962.09, 34252.51
09/16/20, 34777.14, 34989.65, 34538.19, 34547.98
09/15/20, 34757.23, 34845.70, 34545.93, 34666.00
09/14/20, 34281.50, 34596.45, 34249.61, 34472.92
09/11/20, 34159.43, 34241.31, 33638.16, 33949.24
09/10/20, 34725.90, 34837.16, 33862.95, 33957.00
09/09/20, 34292.35, 34767.69, 34211.32, 34527.94
09/08/20, 34136.23, 34352.77, 33829.93, 33848.56
