date,sp_r,dj_r,new_cases,new_deaths,people_vaccinated_per_hundred,funds_er,walcl,lr_treasury_r,headline_nsr,abstract_nsr,lead_parag_nsr,body_nsr,tweet_nsr,gold_pr,usd_eur,tw_topic_1,tw_topic_2,tw_topic_3,tw_topic_4,tw_topic_5,nyt_topic_1,nyt_topic_2,nyt_topic_3,nyt_topic_4,nyt_topic_5,nyt_topic_6,nyt_topic_7,nyt_topic_8,nyt_topic_9,nyt_topic_10
2020-06-18,0.0005941885151390767,0.0008096918057294555,28227.0,700.0,0.0,0.08,7094690.0,-0.11,0.0833333333333333,0.3333333333333333,0.2916666666666666,0.875,0.1736842105263157,1731.1,0.8926,0.5890394,0.33060926,0.010054383,0.060258996,0.010037961,0.00017251282,0.10526127,0.00017250943,0.0001725213,0.066229895,0.00017251488,0.00017247615,0.8026029,0.022319498,0.002723984
2020-06-19,-0.005649463621948282,-0.005371814674128446,31054.0,634.0,0.0,0.08,7094690.0,-0.13,0.0,0.0909090909090909,0.1818181818181818,0.8636363636363636,0.1295336787564767,1753.0,0.8945,0.59275013,0.010751735,0.11741122,0.057695337,0.22139163,0.00015932752,0.9025954,0.00015933685,0.00015931198,0.04070539,0.00015932358,0.0028237225,0.052919544,0.00015933753,0.00015931543
2020-06-22,0.006495057687217244,0.0064688784127384154,29801.0,378.0,0.0,0.08,7094690.0,-0.17,0.0625,0.5,0.625,0.75,0.164021164021164,1766.4,0.888,0.95544606,0.011163325,0.011136983,0.011130275,0.011123384,5.855705e-05,0.46437398,5.8560927e-05,0.018885171,0.16104637,0.06629422,5.8547892e-05,0.24372293,0.045443095,5.8561174e-05
2020-06-23,0.004307441642665109,0.003986697355382655,38730.0,739.0,0.0,0.08,7094690.0,-0.18,-0.1538461538461538,0.2692307692307693,0.2307692307692307,1.0,0.2152777777777778,1782.0,0.8843,0.9112004,0.008530202,0.008393767,0.063480176,0.008395436,0.00023246408,0.030764794,0.00023244455,0.2110661,0.5582262,0.04063814,0.0002324009,0.13814831,0.020226669,0.00023247414
2020-06-24,-0.025855158736495194,-0.026863683751676627,36251.0,755.0,0.0,0.08,7082302.0,-0.18,0.2857142857142857,0.1904761904761904,0.2857142857142857,0.9047619047619048,0.2097902097902098,1775.1,0.8888,0.010461273,0.37124655,0.0100237895,0.5982512,0.01001722,0.0003979268,0.00039794168,0.00039796098,0.00039798112,0.9814045,0.015411867,0.0003978703,0.0003979449,0.0003980632,0.0003979403
2020-06-25,0.01095946995898814,0.011760293441363591,39298.0,548.0,0.0,0.08,7082302.0,-0.2,0.074074074074074,0.2962962962962963,0.3703703703703704,0.8148148148148148,0.1379310344827586,1770.6,0.8914,0.6931121,0.01275853,0.26899746,0.012578352,0.012553578,0.00023497241,0.2310821,0.00023496918,0.04033587,0.08256022,0.00023495022,0.00023495781,0.644612,0.00023495467,0.00023496829
2020-06-26,-0.02422691778867358,-0.023995920091160517,49046.0,626.0,0.0,0.08,7082302.0,-0.23,-0.1249999999999999,0.0833333333333333,0.3333333333333332,0.75,0.0944055944055943,1780.3,0.8914,0.30003464,0.008545406,0.008368894,0.6746981,0.008352976,0.00012976323,0.03774007,0.03331658,0.00012976179,0.42715088,0.00012976507,0.00012973823,0.5010139,0.00012977414,0.00012975688
2020-06-29,0.014685698143932337,0.015459618124114595,41296.0,369.0,0.0,0.08,7082302.0,-0.22,0.0714285714285714,0.5,0.1785714285714285,0.8571428571428572,0.1924398625429553,1781.2,0.8894,0.7327082,0.06682918,0.066675566,0.06711149,0.06667557,8.591777e-05,0.2339123,0.06361111,0.058173113,0.025168683,0.5960391,8.5924956e-05,8.5923886e-05,0.022751935,8.591802e-05
2020-06-30,0.015409859690034253,0.015533321755462556,49824.0,559.0,0.0,0.08,7082302.0,-0.2,0.2307692307692307,0.1923076923076923,0.4230769230769231,0.7692307692307692,0.2222222222222222,1800.5,0.8902,0.5553172,0.012972733,0.012540187,0.40663308,0.012536751,0.19209975,0.47977597,0.00029625677,0.00029625077,0.2691525,0.05719434,0.0002962017,0.0002962707,0.00029624676,0.00029624096
2020-07-01,0.005022110834792927,0.004347497006503791,49122.0,698.0,0.0,0.09,7009040.0,-0.2,0.1666666666666666,0.4166666666666667,0.2916666666666667,0.8333333333333333,0.25,1779.9,0.8887,0.6414119,0.018641125,0.018585375,0.30277562,0.018585932,0.0002611326,0.00026112492,0.037429668,0.046483174,0.018172124,0.15313645,0.0002610771,0.6504271,0.09330701,0.0002611182
2020-07-02,0.004541282342595653,0.004576202297592236,54944.0,739.0,0.0,0.09,7009040.0,-0.23,0.1052631578947368,0.2105263157894736,0.1578947368421052,0.894736842105263,0.0833333333333333,1790.0,0.8896,0.026088782,0.27994898,0.19627912,0.025594028,0.47208908,0.03543649,0.00022844167,0.00022848837,0.00022844363,0.067018464,0.00022843447,0.00022837053,0.7186881,0.17748639,0.00022844144
2020-07-06,0.015881738397001792,0.015639124648453195,43166.0,371.0,0.0,0.09,7009040.0,-0.24,0.0625,0.4375,0.375,0.9375,0.1293706293706293,1793.5,0.8842,0.7822675,0.079390556,0.065316126,0.06243805,0.010587739,0.049019556,0.19223146,0.00014832449,0.09287091,0.09326241,0.0001483075,0.00014829086,0.065415226,0.416311,0.09044448
2020-07-07,-0.010818562640735548,-0.011174551764740477,57230.0,1141.0,0.0,0.09,7009040.0,-0.27,0.2272727272727272,0.2272727272727273,0.1818181818181818,0.8181818181818181,0.1535836177474402,1809.9,0.8871,0.69050515,0.2233658,0.028686542,0.028755879,0.028686628,0.00018521937,0.041304283,0.00018521666,0.00018520716,0.9572138,0.0001852059,0.0001853645,0.00018523596,0.00018523991,0.00018521931
2020-07-08,0.00782750244808156,0.008320761398267951,60306.0,841.0,0.0,0.09,6920716.0,-0.24,0.0,0.3076923076923076,0.4615384615384615,0.6923076923076923,0.2206896551724137,1820.6,0.8827,0.7135255,0.014015376,0.014012847,0.013678267,0.2447681,0.07215884,0.22431074,0.019586034,0.0001496026,0.012148549,0.5203733,0.0001495639,0.15082417,0.00014959266,0.00014959645
2020-07-09,-0.005643639942711809,-0.006325378695125231,59656.0,1031.0,0.0,0.09,6920716.0,-0.29,0.25,0.4166666666666667,0.4583333333333333,0.7083333333333334,0.1118881118881119,1803.8,0.8861,0.6010311,0.15129928,0.14045417,0.0984868,0.008728591,0.0001610173,0.28315568,0.2626549,0.00016102099,0.3806846,0.00016105952,0.00016098713,0.065334275,0.007365475,0.00016101733
2020-07-10,0.010466204533557457,0.010927371394936037,68858.0,816.0,0.0,0.09,6920716.0,-0.27,-0.08,0.48,0.32,0.8400000000000001,0.2377622377622378,1801.9,0.8849,0.7815152,0.0748655,0.12084784,0.011625252,0.011146222,0.028790897,0.42284298,0.0148857,0.09133424,0.10300378,0.008299838,4.5557612e-05,0.08070682,0.096308574,0.15378158
2020-07-13,-0.009362519779971417,-0.011006426123645973,59366.0,435.0,0.0,0.09,6920716.0,-0.29,-0.1666666666666666,0.4444444444444445,0.2222222222222222,0.8888888888888888,0.2157534246575342,1814.1,0.8814,0.034955114,0.2561621,0.035076823,0.36641878,0.3073872,0.0025314775,0.25381833,0.00011746137,0.00011748613,0.23143621,0.00011745412,0.00011744141,0.38383913,0.061640143,0.0662649
2020-07-14,0.013406355182839924,0.013720358771033309,65662.0,896.0,0.0,0.09,6920716.0,-0.3,0.0833333333333333,0.375,0.125,0.7083333333333334,0.2465753424657534,1813.4,0.8772,0.7615135,0.025734097,0.16157614,0.025726547,0.025449738,0.00013484716,0.0855225,0.44681758,0.00013485257,0.15335874,0.00013486057,0.00013483076,0.053026423,0.004323817,0.25641158
2020-07-15,0.00908203857989941,0.011797891134269428,66028.0,965.0,0.0,0.09,6958604.0,-0.29,0.2105263157894736,0.2105263157894736,0.2631578947368421,0.7894736842105263,0.1891191709844559,1813.8,0.8763,0.58590317,0.30486658,0.08800075,0.010654432,0.010575104,0.04642214,0.13613556,0.034782466,0.029415334,0.20543623,0.00015585472,0.00015582994,0.1387414,0.00015587448,0.4085993
2020-07-16,-0.0034061043340275036,-0.0038792714039020994,70815.0,961.0,0.0,0.09,6958604.0,-0.31,0.1052631578947368,0.1578947368421052,0.2631578947368421,0.9473684210526316,0.2248062015503876,1800.3,0.8784,0.016895156,0.01689518,0.22148243,0.016895415,0.72783184,0.00019792408,0.79723126,0.00019793099,0.00019792658,0.014300455,0.00019792219,0.00019789001,0.18708286,0.00019792662,0.00019792814
2020-07-17,0.0028486395880045695,0.0034351028484878583,66472.0,915.0,0.0,0.09,6958604.0,-0.33,0.4090909090909091,0.3181818181818182,0.2272727272727272,0.8636363636363636,0.2717770034843205,1810.0,0.8748,0.95244026,0.011981127,0.011845328,0.011852695,0.011880633,0.021399846,0.15849821,0.00036390868,0.034837037,0.0010798909,0.40769953,0.00036382274,0.37502995,0.00036388834,0.00036389488
2020-07-20,0.00840690538432679,0.008294357007019713,60663.0,529.0,0.0,0.09,6958604.0,-0.34,0.1739130434782608,0.2173913043478261,0.5217391304347826,1.0,0.3962655601659751,1817.4,0.8736,0.7111267,0.014503324,0.014309066,0.24575187,0.014309081,0.00013815911,0.08933557,0.0065456587,0.46921507,0.0034775757,0.361691,0.00013812428,0.057858445,0.00013815153,0.011462231
2020-07-21,0.0016790493997244748,0.002072301782191711,68194.0,1096.0,0.0,0.09,6958604.0,-0.37,-0.1034482758620689,-0.1034482758620689,0.3793103448275862,0.9310344827586208,0.296875,1843.9,0.8675,0.6070293,0.007894467,0.30143118,0.075813726,0.007831304,0.100701876,0.3325496,0.022506194,0.0001316049,0.03664778,0.5069366,0.00013154779,0.0001315898,0.00013158747,0.00013157574
2020-07-22,0.0057470911491111654,0.005631172648934189,67546.0,1225.0,0.0,0.09,6964755.0,-0.37,0.1290322580645161,0.1290322580645161,0.4838709677419355,0.935483870967742,0.2133333333333333,1865.1,0.8642,0.01832064,0.9264788,0.018247992,0.01863221,0.018320303,4.9919337e-05,0.698665,0.008008649,0.00030928844,4.9919145e-05,4.9913473e-05,4.9909e-05,0.22151394,0.0044119325,0.06689148
2020-07-23,-0.012319827107282657,-0.011450569158969687,67887.0,1086.0,0.0,0.09,6964755.0,-0.39,0.0526315789473684,0.0526315789473684,0.631578947368421,0.7894736842105263,0.1713286713286713,1890.0,0.8623,0.5773615,0.013969334,0.3412944,0.013393407,0.05398133,0.28315467,0.2796582,0.19981444,0.00010864839,0.06693571,0.041441407,0.002153752,0.12651587,0.00010866083,0.00010866363
