date,sp_close_pr,dj_close_pr,new_cases,new_deaths,people_vaccinated_per_hundred,funds_er,walcl,lr_treasury_r,headline_nsr,abstract_nsr,lead_parag_nsr,body_nsr,tweet_nsr,gold_pr,usd_eur
2020-11-02,3310.24,33962.43,81808.0,554.0,0.0,0.09,7146306.0,-0.34,0.1428571428571428,0.4285714285714285,0.3214285714285714,0.8571428571428572,0.2266187050359712,1892.5,0.8591
2020-11-03,3369.16,34612.51,124767.0,1595.0,0.0,0.09,7146306.0,-0.33,0.0,0.04,0.48,0.76,0.1087719298245614,1910.4,0.8531
2020-11-04,3443.44,35339.61,100264.0,1108.0,0.0,0.09,7157479.0,-0.36,0.2666666666666666,0.2,0.5333333333333333,0.9333333333333332,0.1989247311827957,1896.2,0.853
2020-11-05,3510.45,36071.16,128081.0,1159.0,0.0,0.09,7157479.0,-0.38,0.1153846153846153,0.1923076923076923,0.6153846153846154,0.8461538461538463,0.074074074074074,1946.8,0.8453
2020-11-06,3509.44,36050.46,127058.0,1206.0,0.0,0.09,7157479.0,-0.32,-0.0625,0.1875,0.375,0.875,0.2606382978723404,1951.7,0.8421
2020-11-09,3550.5,36439.86,116956.0,758.0,0.0,0.09,7157479.0,-0.24,0.0499999999999999,0.2,0.5499999999999999,1.0,0.4019337016574585,1854.4,0.8465
2020-11-10,3545.53,36414.89,136555.0,1408.0,0.0,0.09,7157479.0,-0.26,-0.1428571428571428,0.5714285714285714,0.4285714285714286,0.8928571428571429,0.261072261072261,1876.4,0.8464
2020-11-12,3537.01,36334.56,158797.0,1195.0,0.0,0.09,7175417.0,-0.33,0.25,0.25,0.7083333333333334,1.0,0.2042105263157894,1873.3,0.847
2020-11-13,3585.15,36830.0,179518.0,1195.0,0.0,0.09,7175417.0,-0.33,0.1111111111111111,0.2777777777777778,0.2777777777777778,0.8888888888888888,0.2589473684210526,1886.2,0.8448
2020-11-16,3626.91,37288.44,153087.0,814.0,0.0,0.09,7175417.0,-0.31,0.1666666666666666,0.1666666666666666,0.5833333333333333,1.0,0.3315994798439532,1887.8,0.8436
